StateAbb	PlaceName	longitude	latitude	DistancetoCapitalCity_km
AL	Hog Pen Branch	-86.76385	31.09462	148
AL	Hog Pen Branch	-85.92414	34.12954	199
AL	Hog Shoals	-87.47445	33.25290	151
AL	Hog Wallow Ridge	-88.41809	32.12792	205
AL	Hogan Creek	-87.32444	32.19931	102
AL	Hogbed Creek	-86.34858	32.65346	34
AL	Hogeland Creek	-86.78638	33.81260	169
AL	Hoggle Cemetery	-87.62641	34.17204	238
AL	Hoggle Church	-87.62780	34.17288	238
AL	Hoggle Ridge	-87.64002	34.15288	237
AL	Hogglesville	-87.49167	32.85429	128
AL	Hoghouse Creek	-87.32196	34.09316	217
AL	Hoghouse Point	-87.73142	34.64648	288
AL	Hogjaw Creek	-85.62497	34.99202	298
AL	Hogjaw Ridge	-85.66608	34.96925	295
AL	Hogjaw Valley	-85.68250	34.93806	291
AL	Hogley Wood Cemetery	-87.97918	32.89235	172
AL	Hogpen Branch	-86.64582	33.51122	133
AL	Hogpen Creek	-86.80304	33.27845	114
AL	Hogpen Hollow	-88.07559	34.98175	336
AL	Hogsick Creek	-87.22889	33.33234	141
AL	Hogskin Creek	-85.75469	34.69342	263
AL	Hogue Creek	-85.70886	34.77064	273
AL	Hogwood Branch	-87.49836	34.58370	273
AL	Hogyard Ridge	-86.20887	34.97286	290
AL	Hohenberg Field	-86.21191	32.54597	21
AL	Hohenlinden Plantation (historical)	-87.96029	32.74208	166
AL	Hoithlewalli (historical)	-86.08052	32.41958	18
AL	Hokes Bluff	-85.86636	33.99815	186
AL	Hokes Bluff Elementary School	-85.87025	33.99649	185
AL	Hokes Bluff Ferry (historical)	-85.88247	33.99649	185
AL	Hokes Bluff First Baptist Church	-85.87664	33.99482	185
AL	Hokes Bluff High School	-85.86997	34.01399	187
AL	Hokes Bluff Middle School	-85.86886	33.99621	185
AL	Hokes Bluff Volunteer Fire Department	-85.86558	33.99213	185
AL	Holbert Springs Primitive Baptist Church	-87.16113	34.87009	291
AL	Holcim Axis Quarry	-87.97731	30.94652	226
AL	Holcomb Branch	-87.90531	34.35760	270
AL	Holcomb Cemetery	-87.67696	33.98538	224
AL	Holcomb Lake	-86.54511	33.65215	146
AL	Holden Cemetery	-87.49306	34.08667	224
AL	Holden Cemetery	-87.47197	34.89564	303
AL	Holder Branch	-85.61247	34.90758	289
AL	Holder Cemetery	-86.71333	34.75565	269
AL	Holders Ferry (historical)	-87.89250	31.35933	190
AL	Holding Cemetery	-86.76000	34.64176	258
AL	Holdridge Branch	-85.77246	33.19567	104
AL	Holdridge Pond	-86.02124	32.95250	70
AL	Holdridges Mill (historical)	-86.90388	32.63291	68
AL	Holetah Creek	-88.20919	32.61541	186
AL	Holiday Beach	-87.17222	33.22234	129
AL	Holiday Gardens	-86.71054	33.52205	136
AL	Holiday Park	-87.78527	30.88185	219
AL	Holiday Park Estates	-86.66971	33.65316	149
AL	Holiday Plaza Shopping Center	-86.62638	34.71259	264
AL	Holiday Raceway	-87.16666	33.22234	128
AL	Holiday Shopping Center	-86.03053	34.64786	255
AL	Holiday Shores	-87.55917	33.39512	168
AL	Holiday Shores	-86.31721	34.44592	232
AL	Holiday Village	-85.76521	31.34100	122
AL	Holiness Chapel (historical)	-85.54882	31.10184	155
AL	Holiness Church	-86.25245	31.27850	120
AL	Holiness Church	-87.75334	32.07932	144
AL	Holiness Church	-87.78779	32.77652	151
AL	Holiness Church	-87.90057	32.18626	156
AL	Holiness Church	-87.94057	32.08515	161
AL	Holiness Church	-88.26614	32.35958	189
AL	Holiness Church	-88.27697	32.27847	190
AL	Holiness Church	-88.29306	30.76186	262
AL	Holiness Church	-88.39501	30.71908	272
AL	Holiness Church (historical)	-86.89108	31.52822	110
AL	Holiness Church (historical)	-86.27637	34.41231	228
AL	Holiness Tabernacle	-88.36670	32.43986	199
AL	Holiness Tabernacle (historical)	-85.40493	31.22518	149
AL	Holiness Temple of Alexandria	-85.84747	33.76343	161
AL	Holland Branch	-87.17194	33.11901	120
AL	Holland Branch	-86.38554	34.16704	201
AL	Holland Cemetery	-86.49637	32.58180	34
AL	Holland Cemetery	-86.11023	31.38822	108
AL	Holland Cemetery	-87.02164	31.28739	139
AL	Holland Cemetery	-86.37832	34.16121	200
AL	Holland Cemetery	-87.77003	34.65565	291
AL	Holland Chapel	-86.07776	34.75786	267
